단어,빈도수
소양강댐,12
경사면,12
역할,12
거주,12
무덤,12
수천,12
연,12
명성,12
사려,12
사면,12
배치,12
수심,12
조각상,12
범위,12
홈스테이,12
제격,12
레이아웃,12
수도권,12
훈련,12
수로,12
적기,12
여행가,12
슈퍼마켓,12
신잡,12
불빛,12
전이,12
용평리조트,12
휴대,12
반찬,12
볶음밥,12
공짜,12
강가,12
원인,12
호박,12
모텔,12
아이디어,12
앞바다,12
울,12
향수,12
환승,12
요원,12
생물,12
구석구석,12
민박,12
미래,12
스크린,12
여러분,12
화이트,12
관습,12
화진포,12
승지,12
유교,12
전환,12
마사지,12
해적,12
마스터,12
절의,12
밀집,12
장춘,12
절감,12
자생,12
무대,12
남북한,12
트래킹,12
폐광,12
통화,12
평지,12
계산,12
진흙,12
차례,12
금,12
차선,12
가문,12
트리,12
기전,12
금광,12
당황,12
한류,12
카약,12
최대한,12
템플스테이,12
경찰,12
케이크,12
가요,12
조언,12
참가,12
가정,12
픽업,12
난방,12
동남아,12
토요일,12
뒤쪽,12
동료,12
공예품,11
등급,11
주거,11
들판,11
철제,11
철조망,11
암자,11
크리스마스,11
분도,11
악기,11
유명인,11
창문,11
결혼,11
풍차,11
동해시,11
이동해,11
의식,11
창조,11
처녀,11
마감,11
불꽃,11
심장,11
분만,11
청구,11
아버지,11
너머,11
노약,11
문화제,11
봉평,11
연중,11
춘천역,11
추암,11
욕조,11
주연,11
오염,11
촬영장,11
욕실,11
총렵,11
홍련암,11
구분,11
오토,11
방학,11
필드,11
가량,11
발해,11
주시,11
발길,11
봉제,11
용품,11
월초,11
간주,11
야영장,11
원조,11
정부,11
전골,11
녹음,11
논골,11
움직,11
과대,11
보라색,11
전투,11
하슬라,11
눈앞,11
늦가을,11
박스,11
발전기,11
무릎,11
인사동,11
수면,11
수록,11
일행,11
수년,11
동의,11
사이즈,11
렌트,11
맨손,11
껍질,11
일상,11
소실,11
소문,11
조경,11
강남,11
산소,11
일류,11
산입,11
인제,11
세부,11
걸음,11
선호,11
기운,11
살기,11
성당,11
서울역,11
삼,11
동전,11
낙산해수욕장,11
라이트,11
비즈니스,11
고생,11
비행기,11
스테이션,11
빌딩,11
금요일,11
문학관,11
롯데,11
기구,11
감자,11
이스트,11
램프,11
수영복,11
수용,11
장릉,11
랜드마크,11
돗자리,11
거울,11
일치,10
체험학습,10
지능,10
군것질,10
용산,10
요하,10
발자국,10
자가용,10
지속,10
목격,10
한정,10
지상,10
한우,10
발자취,10
궁전,10
대불,10
물가,10
이모,10
음향,10
을해,10
은행나무,10
천,10
이산,10
천년,10
이슬람,10
미만,10
한가운데,10
강도,10
묵호,10
일간,10
대회,10
민족,10
군함,10
민통선,10
민화,10
한계령,10
이하,10
무지개,10
원화,10
무시,10
창건,10
강사,10
라이브,10
야시장,10
초록색,10
산지,10
산세,10
팬션,10
고풍,10
산기슭,10
소양댐,10
까페,10
소통,10
손질,10
사의,10
사시미,10
사시,10
사색,10
파괴,10
사물함,10
수업,10
나뭇잎,10
수평선,10
수학여행,10
투자,10
섹션,10
성취,10
궤도,10
휴양,10
생기,10
생명,10
고소공포증,10
금산,10
포괄,10
서도,10
서명,10
서식,10
상상력,10
서울시,10
서클,10
상담,10
석호,10
석회암,10
기슭,10
선생님,10
기온,10
선재,10
삼면,10
통합,10
스케줄,10
스테이크,10
승리,10
가구,10
공지천,10
동생,10
양배추,10
노후,10
컵,10
보완,10
보신,10
병사,10
병,10
엘리베이터,10
친절,10
여행사,10
연극,10
연속,10
뱀,10
관도,10
강촌역,10
왕릉,10
노랑,10
공용,10
노동당,10
개통,10
남부,10
풍력발전,10
시내버스,10
테라스,10
시외버스,10
시적,10
시청,10
터렐관,10
신분,10
부품,10
내륙,10
신혼,10
탐구,10
아라리,10
타운,10
북위,10
북부,10
공식,10
장갑,10
저학년,10
좡,10
잼,10
맞은편,10
해송,10
마스크,10
할아버지,10
렌탈,10
마법,10
떡볶이,10
장벽,10
주차공간,10
정치,10
로밍,10
구사,10
록,10
장도,10
정렬,10
동행,10
구슬,10
중독,10
매장,10
조류,10
중학교,10
라운지,10
레벨,10
라이드,10
장난감,10
맵,10
죽,10
해결,10
재배,10
방지,9
드라이버,9
오솔길,9
구비,9
오제,9
방해,9
강철,9
피트,9
홍게,9
옥수수,9
온수,9
능선,9
영토,9
오렌지,9
농원,9
번의,9
축복,9
춤,9
피지,9
마트,9
전철,9
강정,9
충전,9
여분,9
베트남,9
피자,9
먼지,9
우측,9
왕조,9
초반,9
유네스코,9
철로,9
미시령,9
결제,9
구리,9
유정,9
처리,9
육지,9
주행,9
재킷,9
중단,9
찻길,9
익스트림,9
덤,9
무수,9
대만,9
광부,9
대도시,9
용화산,9
초목,9
초당동,9
전문가,9
초겨울,9
발달,9
주지,9
결과,9
대답,9
보안,9
반대,9
운전자,9
관해,9
원더,9
월일,9
국기,9
절정,9
보장,9
로고,9
소유,9
소장품,9
소품,9
곡,9
솔솔,9
송혜교,9
쇠고기,9
고구마,9
어의,9
파트너,9
젖소,9
파라솔,9
구축,9
거실,9
숯불,9
쉬엄쉬엄,9
검룡소,9
제목,9
소설가,9
패턴,9
건축가,9
기계,9
샤워실,9
상세,9
조상,9
상기,9
선박,9
레드,9
평방,9
삼림,9
편향,9
기존,9
세월,9
길목,9
페이,9
빨강,9
스냅,9
스위치백,9
프론트,9
마루,9
활성화,9
아저씨,9
아침식사,9
마무리,9
안경,9
안무,9
부자,9
도구,9
노을,9
공장,9
본질,9
마인,9
마일,9
본격,9
아래층,9
정감,9
거대,9
내의,9
스토리,9
스트림,9
슬롯,9
비어,9
토속,9
리본,9
비무장,9
근무,9
시점,9
가입,9
항목,9
브레이크,9
신사,9
프로,9
실수,9
인솔,9
공휴일,9
행정,9
잡지,9
장애인,9
찐빵,9
감영,9
장거리,9
일주일,9
모시,9
감자전,9
직진,9
한탄강,9
작용,9
모터,9
지질,9
피난처,8
부채,8
공연장,8
파티,8
홀로,8
단장,8
공예,8
학,8
안목항,8
인원,8
사이클,8
진심,8
관문,8
기적,8
유니세프,8
적멸보궁,8
솔,8
완성,8
방어,8
커피한잔,8
후예,8
성공,8
콧등,8
감흥,8
기와,8
터렐,8
식당가,8
폐교,8
가평역,8
활기,8
석양,8
은근,8
석조,8
대조영,8
대조,8
뜻,8
개월,8
시트,8
선의,8
기쁨,8
배우,8
클럽,8
약수터,8
미로,8
난민,8
짬뽕,8
뒤편,8
단오,8
증가,8
귀,8
위엄,8
기초,8
레이스,8
대리,8
광대,8
마운틴,8
관장,8
맨발,8
주전부리,8
고층,8
정문,8
요한,8
본관,8
시간표,8
공공,8
항복,8
경비원,8
모닥불,8
당나라,8
리버,8
패밀리,8
컵라면,8
산보,8
비슷,8
공개,8
양념,8
약속,8
발굴,8
산도,8
부과,8
스프링,8
감안,8
강원랜드,8
압도,8
협곡,8
편리,8
시냇물,8
산타,8
강물,8
허락,8
청평,8
뚜벅,8
레인,8
세션,8
원형,8
간의,8
컨텐츠,8
밤나무,8
복장,8
코너,8
부대,8
청호동,8
패달,8
호로,8
복합,8
페이스,8
박수,8
저장,8
북동쪽,8
음료수,8
배터리,8
불가,8
무지,8
장평,8
수제,8
규칙,8
탄생,8
이점,8
낯선,8
매운탕,8
개관,8
여객,8
조카,8
문의,8
전의,8
특유,8
별자리,8
기념비,8
식품,8
타일,8
창,8
대학,8
난간,8
연습,8
상호,8
사무소,8
탈출,8
묘사,8
화석,8
뿌리,8
돌기,8
탐방,8
인삼,8
마구간,8
무더위,8
골짜기,8
차오,8
차원,8
정전,8
독창,8
신자,8
신선,8
탈의실,8
인내심,8
연기,8
순례,8
가수,8
묘,8
충돌,8
래서,8
일반인,8
